sentence_id,chunk_id,text,paper_id
0,0,"In flowering plants, inferior ovaries are key morphological innovations that evolved multiple times from superior ovaries to protect female parts of the flower.",P001
1,0,"However, the developmental mechanisms underlying inferior ovary formation remain largely unknown.",P001
2,0,"Comparative spatial transcriptome mapping and cell lineage reconstructions in developing floral buds of cucumber and tomato, which have inferior and superior ovaries, respectively, revealed that inferior ovaries develop from accelerated receptacle growth resulting from the continuous activity of meristematic stems cells at the base of the cucumber floral organs.",P001
3,0,Genetic knockout of a receptacle-specific KNOX1 transcription factor in cucumber caused arrest in receptacle growth and yielded bisexual flowers with superior ovaries similar to those of tomato.,P001
4,0,Here we provide developmental and mechanistic insights into inferior ovary formation and sex determination in cucurbits.,P001
5,0,"A typical flower consists of four distinct types of floral organ: sepals, petals, stamens and carpels.",P001
6,0,"These organs are arranged on the receptacle in sequential whorls, from the outer region to the centre1.",P001
7,0,The spatial arrangement of the outer floral organs relative to the ovary determines whether the ovary is classified as superior or inferior2.,P001
8,0,"Inferior ovaries are located below the attachment points of the sepals, petals and stamens, whereas superior ovaries are positioned above these other floral organs.",P001
9,0,Inferior ovaries have independently evolved from superior ovaries multiple times throughout angiosperm evolution The adaptive advantage of an inferior ovary includes providing increased protection to developing gynoecia and allocating more energy to developing ovules4.,P001
10,1,"Based on anatomical and comparative studies, several early theories regarding the development and evolution of the inferior ovary have been proposed, while no single theory completely explains all morphological aspects of the inferior ovary.",P001
11,1,"Some studies suggest that the evolution of floral organs was not linear but rather a gradual process from simplicity to complexity, with various parts of the floral Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences, Shenzhen, China.",P001
12,3,"We annotated the phylogenetic tree of angiosperms9, encompassing 502 species across 61 orders, with sex information and ovary positions (Fig. 1a).",P001
13,3,"In extant angiosperms, bisexual flowers and superior ovaries 862 represent ancestral states.",P001
14,3,Unisexual flowers and inferior ovaries originated independently multiple times during angiosperm evolution.,P001
15,3,"However, they appeared simultaneously in the Cucurbitaceae and its closely related species Tetramelaceae and Begoniaceae (Fig. 1a), suggesting that the inferior ovary and unisexual flower may have originated from a single evolutionary event in the Cucurbitaceae.",P001
16,3,"Cucumber and tomato have a similar floral structure (Extended Data Fig. 1a), but their differences in flower sex and ovary position make them excellent subjects for comparison (Extended Data Fig. 1b).",P001
17,3,"Based on previous studies, we defined the different stages of floral bud development in cucumber and tomato10,11 (Supplementary Table 1) and examined the morphology of female floral buds of cucumber from floral meristem initiation to carpel fusion completion.",P001
18,3,"After initiation, the cucumber floral meristem enlarges from the perimeter and becomes concave (Fig. 1b), then sepal, petal, stamen and carpel primordia are initiated sequentially on the inner regions of this ‘enlarged floral meristem’ (EFM) (Fig. 1b,c).",P001
19,3,"With the rapid growth of the receptacle, the sepal, petal and stamen primordia are elevated to the floral apex, while the carpel remains inside the receptacle, thereby forming inferior ovaries (Fig. 1b,c).",P001
20,3,"The formation of male floral buds in cucumber, induced by AgNO3, also featured an enlarged and concave floral meristem; however, the subsequent growth of the receptacle and carpel was arrested (Extended Data Fig. 1c).",P001
21,3,"By contrast, the floral meristem of tomato is convex, and the floral primordia sequentially initiate on its flank, with the carpels growing upwards to form superior ovaries (Fig. 1d, e).",P001
22,3,"Based on these observations, we inferred three necessary conditions for the formation of the inferior ovary in cucumber: (1) enlargement of the floral meristem to change the relative position of the floral whorls, (2) subsequent rapid growth of the receptacle and (3) fusion of the receptacle and the carpel.",P001
23,4,"To dissect the underlying gene expression network driving the development of the inferior ovary of cucumber, we sampled floral buds at various stages, including S1–S8, and ovaries at 0 days post anthesis (DPA) for spatial transcriptomic analysis.",P001
24,4,"Longitudinal sections were analysed, as well as a transverse section of S8-4 and two 0 DPA samples (Extended Data Fig. 2a), using a standard analytical procedure8.",P001
25,4,"Datasets for individual sections were aggregated into bin 50, which had a diameter equal to that of an entire cell at 0 DPA (Extended Data Fig. 2b–d and Supplementary Table 2).",P001
26,4,"The gene numbers and unique molecular identifier (UMI) counts in each bin 50 showed a high level of consistency (Extended Data Fig. 2e–g), without transcript signal spreading, as indicated by the UMI distribution (Supplementary Figs. 1–9), and all the floral bud samples at different stages could be continuously ordered along a pseudotime trajectory (Extended Data Fig. 2h).",P001
27,4,"To acquire a global picture of clusters, we performed a spatially constrained clustering analysis7 (Extended Data Fig. 3b), revealing six superclusters of cells that could be putatively separated into tissues of the floral organs: putative FIM, epidermis, receptacle and conjunctive tissue, floral primordia and carpel, sepal and petal (Extended Data Fig. 2i).",P001
28,4,"To further dissect cell-type composition, we conducted an unsupervised clustering analysis using Seurat12 (Fig. 2a, Extended Data Fig. 3a and Supplementary Fig. 10).",P001
29,5,"We also observed three clusters (26, 27 and 28) situated between the carpel and receptacle at various stages of floral bud development, which we named conjunctive primordia, conjunctive tissue-early and conjunctive tissue-late, respectively (Fig. 2a–c).",P001
30,5,"Besides the expression of marker genes in both carpel (CsAG1) and receptacle (CsCRC), the marker gene CsHANABA TARANU (CsHAN1) was exclusively expressed in cluster 27 (ref. 23) (Supplementary Fig. 18b).",P001
31,5,"To confirm the accuracy of our annotation, we assessed the spatial distribution of several selected marker genes by RNA in situ hybridization, all of which confirmed the spatiotemporal expression patterns indicated by the Stereo-seq signals (Extended Data Fig. 2p).",P001
32,5,"The data related to these spatially and temporally resolved transcriptomes and cell types of cucumber floral organ development can be browsed via the STOmicsDB27, an interactive data portal, at https://db.cngb.org/ stomics/ctsta.",P001
33,6,"We found that although the production of sepal primordia was not captured, probably due to relatively small number of cells at the early stage, the cell lineage analysis indicated that the floral primordia sequentially differentiated into petal, stamen and carpel primordia (Fig. 3a) and that their distributions varied coincident with changes in floral buds morphology (Fig. 3b)13.",P001
34,6,"The FIM showed a strong association with the receptacle (Fig. 3a), suggesting that the FIM is responsible for receptacle fate specification and development.",P001
35,6,"The FIM also gives rise to the provascular tissue, which differentiates into protoxylem after the S5 stage (Fig. 3a).",P001
